Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
EMBENTION;ES0105639001;MLUAV;"Euronext Access Paris";EUR;8.45;8.45;8.45;8.45;"08/04/2024 11:30";CET;19205;162282.25;8.45;08/04/2024
"EMOVA GROUP";FR0013356755;ALEMV;"Euronext Growth Paris";EUR;1.02;1.02;1.02;1.02;"08/04/2024 09:00";CET;1;1.02;1.02;08/04/2024
"ENCRES DUBUIT";FR0004030708;ALDUB;"Euronext Growth Paris";EUR;3.00;3.00;3.00;3.00;"08/04/2024 12:05";CET;215;645.00;3.00;08/04/2024
ENENSYS;FR0013330792;ALNN6;"Euronext Growth Paris";EUR;0.74;0.756;0.692;0.692;"08/04/2024 16:22";CET;25696;18481.062;0.692;08/04/2024
ENERGISME;FR0013399359;ALNRG;"Euronext Growth Paris";EUR;0.006;0.0062;0.0057;0.0058;"08/04/2024 17:35";CET;12380076;73753.2471;0.0058;08/04/2024
ENERTIME;FR0011915339;ALENE;"Euronext Growth Paris";EUR;0.421;0.4435;0.421;0.44;"08/04/2024 17:35";CET;31269;13635.617;0.44;08/04/2024
ENGIE;FR0010208488;ENGI;"Euronext Paris, Brussels";EUR;15.43;15.665;15.42;15.565;"08/04/2024 17:35";CET;4805327;74823069.43;15.565;08/04/2024
ENOGIA;FR0014004974;ALENO;"Euronext Growth Paris";EUR;1.935;1.95;1.925;1.95;"08/04/2024 16:39";CET;4705;9130.88;1.95;08/04/2024
ENTECH;FR0014004362;ALESE;"Euronext Growth Paris";EUR;5.86;6.28;5.72;6.00;"08/04/2024 17:09";CET;11283;67356.24;6.00;08/04/2024
ENTREPARTICULIERS;FR0010424697;ALENT;"Euronext Growth Paris";EUR;0.64;0.66;0.62;0.62;"08/04/2024 16:44";CET;9020;5802.246;0.62;08/04/2024
ENTREPRENDRE;FR0000045122;ALENR;"Euronext Growth Paris";EUR;3.90;3.90;3.90;3.90;"01/03/2024 16:30";CET;22;85.80;3.90;08/04/2024
EO2;FR0010465534;ALEO2;"Euronext Growth Paris";EUR;4.79;4.79;4.60;4.60;"08/04/2024 17:35";CET;721;3366.04;4.60;08/04/2024
EQUASENS;FR0012882389;EQS;"Euronext Paris";EUR;59.00;59.20;58.10;58.80;"08/04/2024 17:35";CET;15685;922206.00;58.80;08/04/2024
ERAMET;FR0000131757;ERA;"Euronext Paris";EUR;73.75;75.25;73.00;75.25;"08/04/2024 17:35";CET;69190;5161292.45;75.25;08/04/2024
ESKER;FR0000035818;ALESK;"Euronext Growth Paris";EUR;185.50;188.60;185.50;188.50;"08/04/2024 17:35";CET;7449;1398199.00;188.50;08/04/2024
ESSILORLUXOTTICA;FR0000121667;EL;"Euronext Paris";EUR;203.40;208.70;203.20;206.90;"08/04/2024 17:37";CET;463567;95914816.30;206.90;08/04/2024
ESSO;FR0000120669;ES;"Euronext Paris";EUR;141.00;145.60;139.00;142.80;"08/04/2024 17:35";CET;49080;6985923.80;142.80;08/04/2024
"EURASIA FONC INV";FR0000061475;EFI;"Euronext Paris";EUR;0.262;0.262;0.262;0.262;"03/04/2024 11:30";CET;2;0.52;0.262;08/04/2024
"EURASIA GROUPE";FR0010844001;ALEUA;"Euronext Growth Paris";EUR;3.44;3.44;3.44;3.44;"14/12/2022 09:00";CET;1;3.44;3.44;08/04/2024
EURAZEO;FR0000121121;RF;"Euronext Paris";EUR;79.75;81.95;79.55;81.90;"08/04/2024 17:35";CET;171437;13967748.15;81.90;08/04/2024
EUROAPI;FR0014008VX5;EAPI;"Euronext Paris";EUR;2.81;2.986;2.794;2.98;"08/04/2024 17:35";CET;476537;1385018.212;2.98;08/04/2024
EUROBIO-SCIENTIFIC;FR0013240934;ALERS;"Euronext Growth Paris";EUR;16.00;16.00;15.70;15.74;"08/04/2024 17:35";CET;4372;69028.02;15.74;08/04/2024
"EUROFINS CEREP";FR0013256518;ALECR;"Euronext Growth Paris";EUR;22000.00;22000.00;22000.00;22000.00;"04/04/2024 17:02";CET;2;44000.00;22000.00;08/04/2024
"EUROFINS SCIE.NV24";FR001400M7C0;ERFNV;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;58.98;08/04/2024
"EUROFINS SCIENT.";FR0014000MR3;ERF;"Euronext Paris";EUR;58.34;59.58;58.22;59.34;"08/04/2024 17:35";CET;239970;14187471.00;59.34;08/04/2024
"EUROLAND CORPORATE";FR0010157115;MLERO;"Euronext Access Paris";EUR;2.28;2.28;2.28;2.28;"08/04/2024 11:30";CET;272;620.16;2.28;08/04/2024
"EUROLOG CANOLA";ES0105586004;MLCAN;"Euronext Access Paris";EUR;1320.00;1320.00;1320.00;1320.00;"11/08/2021 00:00";CET;-;-;1320.00;08/04/2024
EURONEXT;NL0006294274;ENX;"Euronext Paris, Amsterdam, Brussels";EUR;87.10;87.50;86.60;87.10;"08/04/2024 17:35";CET;143618;12508740.80;87.10;08/04/2024
EUROPACORP;FR0010490920;ALECP;"Euronext Growth Paris";EUR;0.337;0.339;0.332;0.332;"08/04/2024 14:18";CET;14839;4954.671;0.332;08/04/2024
EUROPLASMA;FR001400CF13;ALEUP;"Euronext Growth Paris";EUR;0.0007;0.0007;0.0006;0.0006;"08/04/2024 17:35";CET;72945295;47710.692;0.0006;08/04/2024
"EUTELSAT COMMUNIC.";FR0010221234;ETL;"Euronext Paris";EUR;3.876;4.086;3.876;4.086;"08/04/2024 17:35";CET;192015;771407.226;4.086;08/04/2024
EVERGREEN;FR0000035784;EGR;"Euronext Paris";EUR;2.05;2.07;2.05;2.07;"08/04/2024 14:31";CET;11509;23598.32;2.07;08/04/2024
"EXACOMPTA CLAIREF.";FR0000064164;ALEXA;"Euronext Growth Paris";EUR;165.00;169.00;165.00;169.00;"08/04/2024 16:42";CET;84;14060.00;169.00;08/04/2024
"EXAIL TECHNOLOGIES";FR0000062671;EXA;"Euronext Paris";EUR;23.40;23.40;22.55;22.90;"08/04/2024 17:35";CET;32152;734835.40;22.90;08/04/2024
"EXCLUSIVE NETWORKS";FR0014005DA7;EXN;"Euronext Paris";EUR;22.50;22.90;22.25;22.40;"08/04/2024 17:35";CET;70601;1585380.80;22.40;08/04/2024
"EXEL INDUSTRIES";FR0004527638;EXE;"Euronext Paris";EUR;55.00;55.80;54.40;55.80;"08/04/2024 17:35";CET;563;31014.40;55.80;08/04/2024
"EXPLOSIFS PROD.CHI";FR0014003AQ4;EXPL;"Euronext Paris";EUR;137.00;142.00;135.50;141.50;"08/04/2024 17:16";CET;613;84903.50;141.50;08/04/2024
FACEPHI;ES0105029005;ALPHI;"Euronext Growth Paris";EUR;2.02;2.02;2.02;2.02;"08/04/2024 09:00";CET;1;2.02;2.02;08/04/2024
"FAIFEY INVEST";ES0105553004;MLECE;"Euronext Access Paris";EUR;19.80;19.80;19.80;19.80;"29/07/2021 00:00";CET;-;-;15.80;08/04/2024
"FASHION B AIR";FR0004034593;ALFBA;"Euronext Growth Paris";EUR;0.04;0.04;0.04;0.04;"28/03/2024 13:39";CET;1000;40.00;0.04;08/04/2024
FAYENC.SARREGUEMI.;FR0000031973;FAYE;"Euronext Paris";EUR;21.40;21.40;21.40;21.40;"05/04/2024 11:30";CET;10;214.00;21.40;08/04/2024
FD;FR0012300424;MLFDV;"Euronext Access Paris";EUR;0.50;0.50;0.50;0.50;"15/03/2024 11:30";CET;123;61.50;0.50;08/04/2024
FDJ;FR0013451333;FDJ;"Euronext Paris";EUR;37.42;37.62;37.36;37.38;"08/04/2024 17:35";CET;109623;4100942.80;37.38;08/04/2024
FERM.CAS.MUN.CANNE;FR0000062101;FCMC;"Euronext Paris";EUR;1560.00;1560.00;1560.00;1560.00;"08/04/2024 11:30";CET;1;1560.00;1560.00;08/04/2024
FERMENTALG;FR0011271600;FALG;"Euronext Paris";EUR;0.624;0.63;0.611;0.619;"08/04/2024 17:35";CET;179800;111518.21;0.619;08/04/2024
"FIDUCIAL OFF.SOL.";FR0000061418;SACI;"Euronext Paris";EUR;27.60;27.60;27.60;27.60;"08/04/2024 11:30";CET;1;27.60;27.60;08/04/2024
"FIDUCIAL REAL EST.";FR0000060535;ORIA;"Euronext Paris";EUR;181.00;181.00;181.00;181.00;"08/04/2024 11:30";CET;1;181.00;181.00;08/04/2024
"FIGEAC AERO";FR0011665280;FGA;"Euronext Paris";EUR;5.78;5.80;5.68;5.72;"08/04/2024 17:35";CET;7055;40768.22;5.72;08/04/2024
"FILL UP MEDIA";FR001400AEM6;ALFUM;"Euronext Growth Paris";EUR;5.95;6.00;5.90;5.90;"08/04/2024 17:25";CET;175;1042.90;5.90;08/04/2024
"FIN.ETANG BERRE";FR0000062341;BERR;"Euronext Paris";EUR;10.40;10.40;10.40;10.40;"04/04/2024 09:58";CET;200;2080.00;10.40;08/04/2024
"FIN.OUEST AFRICAIN";SN0000033192;FOAF;"Euronext Paris";EUR;58.00;58.00;58.00;58.00;"08/03/2023 11:49";CET;129;7482.00;58.00;08/04/2024
"FINANCIERE MARJOS";FR0000060824;FINM;"Euronext Paris";EUR;0.095;0.095;0.095;0.095;"04/04/2024 16:30";CET;20;1.90;0.095;08/04/2024
FINATIS;FR0000035123;FNTS;"Euronext Paris";EUR;1.37;1.37;1.37;1.37;"26/03/2024 11:30";CET;9;12.33;1.37;08/04/2024
FINAXO;FR0010487272;MLFXO;"Euronext Access Paris";EUR;0.492;0.492;0.492;0.492;"08/04/2024 11:30";CET;1250;615.00;0.492;08/04/2024
FIPP;FR0000038184;FIPP;"Euronext Paris";EUR;0.111;0.111;0.111;0.111;"05/04/2024 11:28";CET;4000;444.00;0.111;08/04/2024
FIRSTCAUTION;CH0120879058;MLFIR;"Euronext Access Paris";EUR;33.40;33.40;33.40;33.40;"28/06/2023 16:41";CET;433;14462.20;33.40;08/04/2024
"FLEURY MICHON";FR0000074759;ALFLE;"Euronext Growth Paris";EUR;19.80;19.90;19.80;19.85;"08/04/2024 16:47";CET;296;5874.85;19.85;08/04/2024
FLORENTAISE;FR001400GO75;ALFLO;"Euronext Growth Paris";EUR;6.00;6.00;5.12;5.44;"08/04/2024 17:35";CET;16884;92629.62;5.44;08/04/2024
"FNAC DARTY";FR0011476928;FNAC;"Euronext Paris";EUR;29.15;29.85;29.10;29.80;"08/04/2024 17:35";CET;14718;434746.25;29.80;08/04/2024
FNPTECHNOLOGIESSA;FR0013230067;MLFNP;"Euronext Access Paris";EUR;0.25;0.25;0.25;0.25;"15/03/2024 11:30";CET;40;10.00;0.25;08/04/2024
"FONCIERE 7 INVEST";FR0000065930;LEBL;"Euronext Paris";EUR;0.615;0.615;0.615;0.615;"15/03/2024 16:30";CET;51;31.38;0.615;08/04/2024
"FONCIERE EURIS";FR0000038499;EURS;"Euronext Paris";EUR;0.159;0.159;0.159;0.159;"27/02/2024 11:30";CET;700;111.30;0.159;08/04/2024
"FONCIERE INEA";FR0010341032;INEA;"Euronext Paris";EUR;33.40;33.40;32.90;33.00;"08/04/2024 17:26";CET;1040;34335.70;33.00;08/04/2024
"FONCIERE LYONNAISE";FR0000033409;FLY;"Euronext Paris";EUR;68.20;68.20;67.40;67.60;"08/04/2024 17:35";CET;113;7651.60;67.60;08/04/2024
"FONCIERE VINDI";FR0011605617;MLVIN;"Euronext Access Paris";EUR;4.10;4.10;4.10;4.10;"12/12/2023 16:30";CET;30;123.00;4.10;08/04/2024
"FONCIERE VOLTA";FR0000053944;SPEL;"Euronext Paris";EUR;7.45;7.45;7.45;7.45;"02/04/2024 11:51";CET;325;2421.25;7.45;08/04/2024
"FORESTIERE EQUAT.";CI0000053161;FORE;"Euronext Paris";EUR;645.00;645.00;645.00;645.00;"07/03/2024 16:30";CET;1;645.00;645.00;08/04/2024
"FORSEE POWER";FR0014005SB3;FORSE;"Euronext Paris";EUR;1.42;1.44;1.30;1.334;"08/04/2024 17:35";CET;95778;129502.532;1.334;08/04/2024
FORVIA;FR0000121147;FRVIA;"Euronext Paris";EUR;14.40;14.69;14.35;14.59;"08/04/2024 17:35";CET;1091857;15926522.79;14.59;08/04/2024
"FOUNTAINE PAJOT";FR0010485268;ALFPC;"Euronext Growth Paris";EUR;118.50;119.00;118.00;118.00;"08/04/2024 17:35";CET;1042;123659.50;118.00;08/04/2024
"FRANCAISE ENERGIE";FR0013030152;FDE;"Euronext Paris";EUR;34.75;34.75;33.85;33.85;"08/04/2024 17:35";CET;22816;777599.20;33.85;08/04/2024
"FRANCE SOIR GROUPE";FR0013222346;MLFSG;"Euronext Access Paris";EUR;0.005;0.005;0.005;0.005;"24/05/2022 11:30";CET;269;1.35;0.005;08/04/2024
"FRANCE TOURISME";FR0010823724;MLFTI;"Euronext Access Paris";EUR;0.05;0.05;0.05;0.05;"08/04/2024 11:30";CET;491;24.55;0.05;08/04/2024
FREELANCE.COM;FR0004187367;ALFRE;"Euronext Growth Paris";EUR;3.68;3.74;3.66;3.69;"08/04/2024 17:35";CET;8133;29962.86;3.69;08/04/2024
FREY;FR0010588079;FREY;"Euronext Paris";EUR;28.00;28.00;28.00;28.00;"08/04/2024 16:42";CET;478;13384.00;28.00;08/04/2024
G.A.I.;FR0000053415;MLGAI;"Euronext Access Paris";EUR;79.00;79.00;79.00;79.00;"05/04/2024 11:30";CET;15;1185.00;79.00;08/04/2024
GALEO;FR0011100759;MLGAL;"Euronext Access Paris";EUR;0.73;0.73;0.73;0.73;"31/01/2024 16:30";CET;47;34.31;0.73;08/04/2024
GALIMMO;FR0000030611;GALIM;"Euronext Paris";EUR;15.10;15.10;15.10;15.10;"08/04/2024 11:30";CET;1;15.10;15.10;08/04/2024
GASCOGNE;FR0000124414;ALBI;"Euronext Growth Paris";EUR;3.42;3.44;3.42;3.44;"08/04/2024 14:11";CET;233;800.21;3.44;08/04/2024
GAUMONT;FR0000034894;GAM;"Euronext Paris";EUR;93.50;95.50;93.50;93.50;"08/04/2024 17:35";CET;80;7515.00;93.50;08/04/2024
GAUSSIN;FR0013495298;ALGAU;"Euronext Growth Paris";EUR;0.26;0.27;0.252;0.256;"08/04/2024 17:35";CET;166489;43182.3425;0.256;08/04/2024
"GE Aerospace";US3696043013;GNE;"Euronext Paris";EUR;149.50;149.50;142.50;144.00;"08/04/2024 17:35";CET;1908;276597.00;144.00;08/04/2024
"GEA GRENOBL.ELECT.";FR0000053035;GEA;"Euronext Paris";EUR;98.00;98.50;96.00;96.50;"08/04/2024 14:35";CET;252;24566.50;96.50;08/04/2024
"GECI INTL";FR001400M1R1;ALGEC;"Euronext Growth Paris";EUR;4.20;4.20;3.80;3.8505;"08/04/2024 17:28";CET;3136;12421.0785;3.8505;08/04/2024
GECINA;FR0010040865;GFC;"Euronext Paris";EUR;93.50;94.35;93.30;94.20;"08/04/2024 17:36";CET;87963;8275403.55;94.20;08/04/2024
GENEURO;CH0308403085;GNRO;"Euronext Paris";EUR;1.485;1.49;1.46;1.46;"08/04/2024 13:42";CET;1867;2760.985;1.46;08/04/2024
GENFIT;FR0004163111;GNFT;"Euronext Paris";EUR;3.185;3.24;3.12;3.22;"08/04/2024 17:35";CET;152457;485767.015;3.22;08/04/2024
GENOWAY;FR0004053510;ALGEN;"Euronext Growth Paris";EUR;4.14;4.18;4.14;4.15;"08/04/2024 16:56";CET;3200;13322.00;4.15;08/04/2024
"GENSIGHT BIOLOGICS";FR0013183985;SIGHT;"Euronext Paris";EUR;0.40;0.4065;0.399;0.4055;"08/04/2024 17:29";CET;28096;11271.1725;0.4055;08/04/2024
"GENTLEMENS EQUITY";PTGVE1AE0009;MLGEQ;"Euronext Access Paris";EUR;0.0165;0.0165;0.016;0.016;"08/04/2024 16:44";CET;20765;334.59;0.016;08/04/2024
"GETLINK SE";FR0010533075;GET;"Euronext Paris";EUR;15.385;15.77;15.385;15.66;"08/04/2024 17:35";CET;682208;10678046.015;15.66;08/04/2024
GEVELOT;FR0000033888;ALGEV;"Euronext Growth Paris";EUR;236.00;238.00;236.00;238.00;"08/04/2024 16:30";CET;59;13934.00;238.00;08/04/2024
"GL EVENTS";FR0000066672;GLO;"Euronext Paris";EUR;19.30;19.80;19.30;19.66;"08/04/2024 17:35";CET;38613;758816.78;19.66;08/04/2024
"GLASS TO POWER A";IT0005454167;MLGLA;"Euronext Access Paris";EUR;-;-;-;-;-;CET;-;-;48.00;08/04/2024
"GLASS TO POWER B";IT0005454175;MLGLB;"Euronext Access Paris";EUR;4.80;4.80;4.80;4.80;"11/09/2023 16:30";CET;71;340.80;4.80;08/04/2024
"GLASS TO POWER WAR";IT0005454134;MLGLW;"Euronext Access Paris";EUR;-;-;-;-;-;CET;-;-;50.00;08/04/2024
"GLOBAL BIOENERGIES";FR0011052257;ALGBE;"Euronext Growth Paris";EUR;1.87;1.90;1.846;1.878;"08/04/2024 17:35";CET;7542;14100.234;1.878;08/04/2024
"GLOBAL PIELAGO";ES0105537007;MLNDG;"Euronext Access Paris";EUR;4.92;4.92;4.92;4.92;"16/04/2021 00:00";CET;-;-;4.92;08/04/2024
"GOLD BY GOLD";FR0011208693;ALGLD;"Euronext Growth Paris";EUR;1.48;1.50;1.48;1.50;"08/04/2024 16:30";CET;8603;12792.24;1.50;08/04/2024
"GPE GROUP PIZZORNO";FR0010214064;GPE;"Euronext Paris";EUR;74.40;74.80;71.00;74.20;"08/04/2024 17:19";CET;687;50360.80;74.20;08/04/2024
"GPE PAROT (AUTO)";FR0013204070;ALPAR;"Euronext Growth Paris";EUR;8.70;8.70;8.65;8.70;"08/04/2024 14:18";CET;5101;44377.45;8.70;08/04/2024
"GRAINES VOLTZ";FR0000065971;GRVO;"Euronext Paris";EUR;22.50;22.50;22.00;22.50;"08/04/2024 17:35";CET;551;12359.20;22.50;08/04/2024
GROLLEAU;FR0014005ZM5;ALGRO;"Euronext Growth Paris";EUR;5.54;5.54;5.54;5.54;"08/04/2024 09:00";CET;20;110.80;5.54;08/04/2024
"GROUPE BERKEM";FR00140069V2;ALKEM;"Euronext Growth Paris";EUR;1.84;1.84;1.80;1.805;"08/04/2024 17:35";CET;6443;11721.37;1.805;08/04/2024
"GROUPE CARNIVOR";FR0000076960;MLGRC;"Euronext Access Paris";EUR;24.00;24.00;24.00;24.00;"26/02/2024 16:30";CET;40;960.00;24.00;08/04/2024
"GROUPE CRIT";FR0000036675;CEN;"Euronext Paris";EUR;71.40;72.00;71.40;72.00;"08/04/2024 17:35";CET;2437;174547.80;72.00;08/04/2024
"GROUPE GUILLIN";FR0012819381;ALGIL;"Euronext Growth Paris";EUR;29.20;29.45;28.90;29.45;"08/04/2024 17:35";CET;8250;240861.05;29.45;08/04/2024
"GROUPE JAJ";FR0004010338;GJAJ;"Euronext Paris";EUR;1.28;1.28;1.28;1.28;"04/04/2024 11:30";CET;51;65.28;1.28;08/04/2024
"GROUPE LDLC";FR0000075442;ALLDL;"Euronext Growth Paris";EUR;16.42;16.58;16.42;16.58;"08/04/2024 16:29";CET;1768;29187.14;16.58;08/04/2024
"GROUPE OKWIND";FR0013439627;ALOKW;"Euronext Growth Paris";EUR;18.62;19.46;18.50;19.38;"08/04/2024 17:29";CET;5257;98532.12;19.38;08/04/2024
"GROUPE PARTOUCHE";FR0012612646;PARP;"Euronext Paris";EUR;20.60;20.60;20.20;20.20;"08/04/2024 13:40";CET;845;17258.20;20.20;08/04/2024
"GROUPE PLUS-VALUES";FR0010529719;MLPVG;"Euronext Access Paris";EUR;0.01;0.01;0.01;0.01;"18/03/2013 15:00";CET;20000;200.00;0.01;08/04/2024
"GROUPE SFPI";FR0004155000;SFPI;"Euronext Paris";EUR;1.915;1.93;1.915;1.93;"08/04/2024 17:35";CET;4451;8544.105;1.93;08/04/2024
"GROUPE TERA";FR0013429404;ALGTR;"Euronext Growth Paris";EUR;4.28;4.28;4.12;4.12;"08/04/2024 17:13";CET;107;455.88;4.12;08/04/2024
GROUPIMO;FR0014000RP6;ALIMO;"Euronext Growth Paris";EUR;0.26;0.26;0.26;0.26;"26/03/2024 16:30";CET;2475;643.50;0.26;08/04/2024
"GT BIOPHARMA INC";US36254L2097;GTBP;"Euronext Paris";EUR;9.35;9.35;9.35;9.35;"24/12/2020 11:30";CET;12;116.05;9.35;08/04/2024
GTT;FR0011726835;GTT;"Euronext Paris";EUR;143.20;143.30;139.10;140.80;"08/04/2024 17:35";CET;84398;11875487.50;140.80;08/04/2024
"GUANDAO PUER INVES";LU1840650458;MLGDI;"Euronext Access Paris";EUR;0.454;0.454;0.454;0.454;"23/05/2022 11:30";CET;403;182.96;0.454;08/04/2024
GUERBET;FR0000032526;GBT;"Euronext Paris";EUR;34.60;34.80;33.75;33.95;"08/04/2024 17:35";CET;11829;404273.40;33.95;08/04/2024
GUILLEMOT;FR0000066722;GUI;"Euronext Paris";EUR;5.16;5.38;5.16;5.22;"08/04/2024 17:35";CET;13362;71106.02;5.22;08/04/2024
"HAFFNER ENERGY";FR0014007ND6;ALHAF;"Euronext Growth Paris";EUR;0.4695;0.4695;0.45;0.45;"08/04/2024 17:29";CET;7771;3527.6575;0.45;08/04/2024
"HAMILTON GLOBAL OP";GB00BMDXQ672;ALHGO;"Euronext Growth Paris";EUR;42.60;42.60;42.60;42.60;"08/04/2024 09:00";CET;1;42.60;42.60;08/04/2024
"HAULOTTE GROUP";FR0000066755;PIG;"Euronext Paris";EUR;2.30;2.31;2.27;2.27;"08/04/2024 17:38";CET;2644;6043.26;2.27;08/04/2024
HDF;FR0014003VY4;HDF;"Euronext Paris";EUR;6.95;6.95;6.90;6.90;"08/04/2024 17:35";CET;1839;12751.44;6.90;08/04/2024
"HEALTHCARE ACTIVOS";ES0105498002;MLHAY;"Euronext Access Paris";EUR;1.30580;1.30580;1.30580;1.30580;"30/09/2020 00:00";CET;-;-;1.33;08/04/2024
HERIGE;FR0000066540;ALHRG;"Euronext Growth Paris";EUR;30.20;32.60;29.60;32.00;"08/04/2024 17:36";CET;20254;623987.30;32.00;08/04/2024
"HERMES INTL";FR0000052292;RMS;"Euronext Paris";EUR;2345.00;2366.00;2334.00;2339.00;"08/04/2024 17:36";CET;42536;99707447.00;2339.00;08/04/2024
HEXAOM;FR0004159473;ALHEX;"Euronext Growth Paris";EUR;21.60;21.90;21.40;21.60;"08/04/2024 17:19";CET;2125;45845.80;21.60;08/04/2024
"HF COMPANY";FR0000038531;ALHF;"Euronext Growth Paris";EUR;5.88;5.90;5.88;5.90;"08/04/2024 17:00";CET;1395;8206.02;5.90;08/04/2024
"HIGH CO";FR0000054231;HCO;"Euronext Paris";EUR;2.95;2.95;2.86;2.92;"08/04/2024 17:35";CET;11736;34174.36;2.92;08/04/2024
"HIPAY GROUP";FR0012821916;ALHYP;"Euronext Growth Paris";EUR;6.62;6.68;6.50;6.52;"08/04/2024 17:35";CET;1908;12524.40;6.52;08/04/2024
HITECHPROS;FR0010396309;ALHIT;"Euronext Growth Paris";EUR;16.00;16.00;16.00;16.00;"08/04/2024 16:30";CET;181;2896.00;16.00;08/04/2024
HK;DE000A11Q133;MLHK;"Euronext Access Paris";EUR;116.00;116.00;116.00;116.00;"08/04/2024 11:47";CET;35;4060.00;116.00;08/04/2024
"HOCHE BAINS L.BAIN";FR0000051302;MLHBB;"Euronext Access Paris";EUR;63.50;63.50;63.50;63.50;"05/04/2024 11:30";CET;10;635.00;63.50;08/04/2024
HOFFMANN;FR0013451044;ALHGR;"Euronext Growth Paris";EUR;12.80;12.90;11.55;11.65;"08/04/2024 17:35";CET;23356;284660.625;11.65;08/04/2024
"HOME CONCEPT";FR0012336691;MLHCF;"Euronext Access Paris";EUR;16.40;16.40;16.40;16.40;"21/02/2024 16:30";CET;5;82.00;16.40;08/04/2024
HOPENING;FR0010312181;MLHPE;"Euronext Access Paris";EUR;7.60;8.00;7.60;8.00;"08/03/2024 16:30";CET;212;1671.20;8.00;08/04/2024
HOPIUM;FR0014000U63;ALHPI;"Euronext Growth Paris";EUR;0.0491;0.0493;0.045;0.045;"08/04/2024 17:35";CET;1327130;63140.1907;0.045;08/04/2024
"HOPSCOTCH GROUPE";FR0000065278;ALHOP;"Euronext Growth Paris";EUR;20.00;20.00;19.80;20.00;"08/04/2024 15:31";CET;581;11581.00;20.00;08/04/2024
"HOT.MAJESTIC CANNE";FR0006226791;MLHMC;"Euronext Access Paris";EUR;4560.00;4560.00;4560.00;4560.00;"08/04/2024 16:30";CET;1;4560.00;4560.00;08/04/2024
"HOTELES BESTPRICE";ES0105664009;MLHBP;"Euronext Access Paris";EUR;3.60;3.60;3.54;3.54;"08/04/2024 16:30";CET;451;1596.60;3.54;08/04/2024
HOTELIM;FR0000053738;MLHOT;"Euronext Access Paris";EUR;40.40;40.40;40.40;40.40;"13/03/2024 11:30";CET;2;80.80;40.40;08/04/2024
"HOTELS DE PARIS";FR0004165801;HDP;"Euronext Paris";EUR;2.88;3.12;2.88;3.12;"08/04/2024 16:30";CET;191;571.92;3.12;08/04/2024
HOTL.IMMOB.NICE;FR0006563904;MLHIN;"Euronext Access Paris";EUR;202.00;202.00;202.00;202.00;"08/04/2024 11:30";CET;10;2020.00;202.00;08/04/2024
HUNYVERS;FR0014007LQ2;ALHUN;"Euronext Growth Paris";EUR;11.85;11.85;11.45;11.80;"08/04/2024 16:45";CET;1100;12888.75;11.80;08/04/2024
HYBRIGENICS;FR0004153930;ALHYG;"Euronext Growth Paris";EUR;0.0122;0.0122;0.0116;0.0121;"08/04/2024 16:39";CET;372179;4474.6276;0.0121;08/04/2024
"HYDRAULIQUE PB";FR0000064735;MLHYD;"Euronext Access Paris";EUR;700.00;700.00;700.00;700.00;"09/02/2024 11:30";CET;1;700.00;700.00;08/04/2024
HYDRO-EXPLOIT.;FR0005843125;MLHYE;"Euronext Access Paris";EUR;108.00;108.00;108.00;108.00;"29/02/2024 16:30";CET;1;108.00;108.00;08/04/2024
"HYDROGEN REFUELING";FR0014001PM5;ALHRS;"Euronext Growth Paris";EUR;7.53;7.67;7.48;7.51;"08/04/2024 17:35";CET;13847;104579.81;7.51;08/04/2024
I.CERAM;FR0014005IU4;ALICR;"Euronext Growth Paris";EUR;1.35;1.36;1.35;1.35;"08/04/2024 13:18";CET;48;65.04;1.35;08/04/2024
I2S;FR0005854700;ALI2S;"Euronext Growth Paris";EUR;6.75;6.75;6.75;6.75;"04/04/2024 11:43";CET;750;5062.50;6.75;08/04/2024
"IANTE INVESTMENTS";ES0105479002;MLINT;"Euronext Access Paris";EUR;4.62;4.62;4.62;4.62;"20/05/2022 16:30";CET;700;3234.00;4.62;08/04/2024
ICADE;FR0000035081;ICAD;"Euronext Paris";EUR;24.36;24.96;24.36;24.74;"08/04/2024 17:35";CET;94859;2344784.74;24.74;08/04/2024
"ICAPE HOLDING";FR001400A3Q3;ALICA;"Euronext Growth Paris";EUR;11.35;11.35;11.25;11.25;"08/04/2024 17:35";CET;637;7208.90;11.25;08/04/2024
"ID LOGISTICS GROUP";FR0010929125;IDL;"Euronext Paris";EUR;346.00;348.00;344.50;344.50;"08/04/2024 17:35";CET;1766;609680.50;344.50;08/04/2024
IDI;FR0000051393;IDIP;"Euronext Paris";EUR;75.00;75.00;74.60;74.80;"08/04/2024 17:35";CET;997;74667.60;74.80;08/04/2024
IDS;FR0000079691;MLIDS;"Euronext Access Paris";EUR;0.312;0.312;0.312;0.312;"02/04/2024 11:30";CET;150;46.80;0.312;08/04/2024
IDSUD;FR0000062184;ALIDS;"Euronext Growth Paris";EUR;184.00;184.00;184.00;184.00;"08/04/2024 09:00";CET;1;184.00;184.00;08/04/2024
"IGIS NEPTUNE";ES0105551008;MLABC;"Euronext Access Paris";EUR;11.43;11.43;11.43;11.43;"31/08/2021 00:00";CET;-;-;9.80;08/04/2024
